"id","userprofile_id","klass_id"
"293","199","1"
"294","200","1"
"295","201","37"
"296","202","38"
"297","203","47"
"298","204","12"
"299","204","13"
"300","204","14"
"301","205","2"
"302","206","55"
"303","207","55"
"304","190","17"
"5014","1247","111"
"5057","4430","112"
"5077","1246","111"
"5096","1301","112"
"5114","1263","112"
"357","261","61"
"358","262","61"
"359","263","61"
"360","264","61"
"361","265","61"
"362","266","62"
"363","267","62"
"364","268","62"
"365","269","62"
"366","270","62"
"367","271","63"
"368","272","63"
"370","274","63"
"371","275","63"
"372","276","64"
"373","277","64"
"374","278","64"
"375","279","64"
"376","280","64"
"377","281","65"
"378","282","65"
"379","283","65"
"380","284","65"
"381","285","65"
"382","286","66"
"383","287","66"
"384","288","66"
"385","289","66"
"386","290","66"
"387","291","67"
"388","292","67"
"389","293","67"
"390","294","67"
"391","295","67"
"392","296","68"
"393","297","68"
"394","298","68"
"395","299","68"
"396","300","68"
"397","301","69"
"398","302","69"
"399","303","69"
"400","304","69"
"401","305","69"
"402","306","67"
"403","307","68"
"404","308","69"
"405","309","61"
"406","310","62"
"407","311","63"
"408","312","64"
"409","313","65"
"410","314","66"
"411","260","1"
"412","315","70"
"413","316","70"
"414","317","70"
"415","318","70"
"416","319","70"
"417","320","70"
"418","321","70"
"419","322","70"
"420","323","70"
"421","324","70"
"422","325","70"
"423","326","70"
"424","327","70"
"425","328","70"
"426","329","70"
"427","330","70"
"428","331","70"
"429","332","70"
"430","333","70"
"431","334","70"
"432","335","70"
"433","336","70"
"434","337","70"
"435","338","70"
"436","339","70"
"437","340","70"
"438","341","70"
"439","342","70"
"440","343","70"
"441","344","70"
"442","345","71"
"443","346","71"
"444","347","71"
"445","348","71"
"446","349","71"
"447","350","71"
"448","351","71"
"449","352","71"
"450","353","71"
"451","354","71"
"452","355","71"
"453","356","71"
"454","357","71"
"455","358","71"
"456","359","71"
"457","360","71"
"458","361","71"
"459","362","71"
"460","363","71"
"461","364","71"
"462","365","71"
"463","366","71"
"464","367","71"
"465","368","71"
"466","369","71"
"467","370","71"
"468","371","71"
"469","372","71"
"470","373","71"
"471","374","71"
"472","375","72"
"473","376","72"
"474","377","72"
"475","378","72"
"476","379","72"
"477","380","72"
"667","569","57"
"478","381","72"
"479","382","72"
"480","383","72"
"481","384","72"
"482","385","72"
"483","386","72"
"484","387","72"
"485","388","72"
"486","389","72"
"487","390","72"
"488","391","72"
"489","392","72"
"490","393","72"
"491","394","72"
"492","395","72"
"493","396","72"
"494","397","72"
"495","398","72"
"496","399","72"
"497","400","72"
"498","401","72"
"499","402","72"
"500","403","72"
"501","404","72"
"502","405","70"
"503","406","71"
"504","407","72"
"505","408","73"
"506","409","73"
"507","410","73"
"508","411","73"
"509","412","73"
"510","413","74"
"511","414","74"
"512","415","74"
"513","416","74"
"514","417","74"
"515","418","75"
"516","419","75"
"517","420","75"
"518","421","75"
"519","422","75"
"520","423","76"
"521","424","76"
"522","425","76"
"523","426","76"
"524","427","76"
"525","428","77"
"526","429","77"
"527","430","77"
"528","431","77"
"529","432","77"
"530","433","78"
"531","434","78"
"532","435","78"
"533","436","78"
"534","437","78"
"535","438","79"
"536","439","79"
"537","440","79"
"538","441","79"
"539","442","79"
"540","443","80"
"541","444","80"
"542","445","80"
"543","446","80"
"544","447","80"
"546","449","81"
"547","450","81"
"548","451","81"
"549","452","81"
"550","453","79"
"551","454","80"
"552","455","81"
"553","456","73"
"554","457","74"
"555","458","75"
"556","459","76"
"557","460","77"
"558","461","78"
"5058","4428","112"
"5078","1242","111"
"5097","1297","112"
"5115","1261","112"
"775","310","61"
"776","676","86"
"777","677","86"
"778","678","86"
"779","679","86"
"1275","881","102"
"781","681","91"
